Event Name,EMS Reservation ID,Day,Date,Event Start Time,Event End Time,Event Duration (hours),Event Duration (minutes),Booking Status,Building / Outside / Off Campus / Virtual,Location / Room,"Host. Select one: Art Museum, PU Department,PPU Group, Corporate","Campus Department / Event Organizer: Museum Education, Museum Development, Dept Art & Arch, Noom, etc.",Event Lead,Event Contact,Program Partner(s) and/or Cosponsor(s),Exhibition / Initiative,"Event Format (in person, virtual, or hybrid)",Event Type  (Select One: Concert; Conference; Film Screening; Lecture; Meeting; Open House; Other; Panel Discussion; Performance; Reception; Rehearsal; Student Organizations Event; Studio [for programs in the Creativity Labs]; Study Break/Review Session; Tour; Training Session),Target Audience (Select One: Student-Centric; Departmental/Academic; General Audience; Multi-generational; Corporate; Cultivation; Friends; Partners),Event Access (Public or Private),Registration (Y/N),Fee (Y/N),Setup / Expected Attendance #,Actual Attendance #,Chartstring,Notes,Feedback
Spring Into Science,,Saturday,"April 18, 2026",1:30 PM,5:00 PM,3:30,210.0,Confirmed,Art Museum,Creativity Labs,Art Museum,Museum Education,Alyea Pierce,Paryn Wallace,Princeton Science Outreach,,In Person,Studio,Multi-generational,Public,Y,N,,360,41411 B0001 GU633,Total from Conservation Studios Visiting Hours (440) and Creativity Labs (360 people). Participants registered through Spring into Science.,
Conservation Studios Visiting Hours (Spring into Science),,Saturday,"April 18, 2026",2:00 PM,4:00 PM,2:00,120.0,Confirmed,Art Museum,Conservation Studios,Art Museum,Museum Education,"Danielle, Caroline, Priya",,,Public Programs,In Person,Open House,General Audience,Public,N,N,,440,41411 B0001 GU633,Spring into Science. Also Members' Preview Day for Photo as a Way of Life.,
Artist Panel: Ali Banisadr & Terry Winters,415563,Thursday,"April 23, 2026",5:30 PM,6:30 PM,1:00,60.0,Confirmed,Art Museum,Grand Hall,Art Museum,Museum Education,Danielle Beach,,,"Willem de Kooning: The Breakthrough Years, 195450",In Person,Panel Discussion,General Audience,Public,N,N,,46,41415 B0371 GU633,,"Great laugh lines, intersting covnersation, people said they enjoyed. "
Learning Through Photography Symposium: Keynote Lecture: Sarah Lewis,415564,Thursday,"April 30, 2026",5:30 PM,6:30 PM,1:00,60.0,Confirmed,Art Museum,Grand Hall,Art Museum,Museum Education,Cara and Danielle,,"Symposium organized by Monica Bravo (A&A), Kate Bussard (PUAM), and Brendan Fey (EMU)","Photography as a Way of Life: Minor White, Aaron Siskind, Harry Callahan",In Person,Lecture,Departmental/Academic,Public,N,N,,160,41415 B0371 GU633,DO NOT RECORD,
Learning Through Photography Symposium,,Friday,"May 1, 2026",10:00 AM,6:30 PM,8:30,510.0,Confirmed,Art Museum,Grand Hall,Art Museum,Museum Education,Cara and Danielle ,,"Symposium organized by Monica Bravo (A&A), Kate Bussard (PUAM), and Brendan Fey (EMU)","Photography as a Way of Life: Minor White, Aaron Siskind, Harry Callahan",In Person,Conference,Departmental/Academic,Public,Y,N,,110,41411 B0001 GU633,"Secondary Locations: Artwalks, 131 Education Commons. Sold out online. 190 registered and others expressed interest in coming though sold out. Only 110 came, about 90 in the AM and 90 in the PM with signifcant overlap.",
Pop-Up Talk: Curators Kit Brooks and Zoe Kwok,,Friday,"May 8, 2026",2:00 PM,3:00 PM,1:00,60.0,Confirmed,Art Museum,Grand Hall,Art Museum,Museum Education,Danielle Beach,,,,In Person,Lecture,General Audience,Public,N,N,,65,41411 B0001 GU633,Secondary Locations: Gallery 16 and Asian Pavilion (the Asian pavilion and South Asian art gallery),
Film Screening: Carol,462018,Thursday,"May 14, 2026",7:00 PM,9:00 PM,2:00,120.0,Confirmed,Art Museum,Small Auditorium,Art Museum,Museum Education,Danielle Beach,,Princeton Garden Theater,"Photography as a Way of Life: Minor White, Aaron Siskind, Harry Callahan",In Person,Film Screening,General Audience,Public,Y,N,,35,41415 B0371 GU633,,
Reunions Welcome Celebration and Art Museum Tours ,418379,Thursday,"May 21, 2026",4:30 PM,6:00 PM,1:30,90.0,Confirmed,Art Museum,Malkin Amphitheater,Art Museum,Museum Education,Cara and Danielle,,,Reunions,In Person,Reception,General Audience,Public,N,N,,150,41415 B0371 GU633,"Secondary Locations: Education Commons rain plan, Galleries. 3 tours led by Julie, Karl, and James, each with 25 participants - 75 total on tours.","List tour times in description, or make it clear that the start time of the event is NOT when the first tour starts. "
Reunions: Art World Networking Breakfast ,,Friday,"May 22, 2026",9:00 AM,10:00 AM,1:00,60.0,Confirmed,Art Museum,Mosaic,Art Museum,Museum Education,Danielle and Mari,,,Reunions,In Person,Other,Student-Centric,Private,N,N,,60,41411 B0001 GU323,,
Reunions: Collections Highlights Tour,,Friday,"May 22, 2026",10:00 AM,11:00 AM,1:00,60.0,Confirmed,Art Museum,Galleries,Art Museum,Museum Education,Audrey and Natalia,,,Reunions,In Person,Tour,General Audience,Public,N,N,,50,,At capacity,
Reunions: Collections Highlights Tour,,Friday,"May 22, 2026",12:00 PM,1:00 PM,1:00,60.0,Confirmed,Art Museum,Galleries,Art Museum,Museum Education,Audrey and Natalia,,,Reunions,In Person,Tour,General Audience,Public,N,N,,50,,At capacity,
Architecture Tour with Museum Director James Steward  ,,Friday,"May 22, 2026",3:00 PM,4:00 PM,1:00,60.0,Confirmed,Art Museum,Galleries,Art Museum,Museum Education,Kristin Kenny,,,Reunions,In Person,Tour,General Audience,Public,N,N,,25,,At capacity (and more!),
Private Staff-Led Art Museum Tour and Toast for 2024 and 2025 Alumni ,,Friday,"May 22, 2026",4:30 PM,5:30 PM,1:00,60.0,Confirmed,Art Museum,Amphitheater,Art Museum,Museum Education,Cara,,,Reunions,In Person,Reception,General Audience,Private,N,N,,140,41411 B0001 GU633,"Secondary Locations: Galleries, 131 Education Commons. Tours led by Zoe, Chris, and James, 25 per tour for a total of 75 on tours.",
Conservation Studios Visiting Hours,454131,Saturday,"May 23, 2026",11:00 AM,1:00 PM,2:00,120.0,Confirmed,Art Museum,Conservation Studios,Art Museum,Museum Education,Caroline Harris,,,Reunions,In Person,Open House,General Audience,Public,N,N,,330,41411 B0001 GU633,,
Reunions: Collections Highlights Tour,,Saturday,"May 23, 2026",11:00 AM,12:00 PM,1:00,60.0,Confirmed,Art Museum,Galleries,Art Museum,Museum Education,Audrey and Natalia,,,Reunions,In Person,Tour,General Audience,Public,N,N,,50,,At capacity,
Art + Math Program Celebration,,Saturday,"May 30, 2026",2:00 PM,5:00 PM,3:00,180.0,Confirmed,Art Museum,Grand Hall,Art Museum,Museum Education,Cara Bramson and Alyea Pierce,,Olivia and Leslie Foundation,,In Person,Open House,Multi-generational,Public,Y,N,,150,41411 B0001 GU633,"Secondary Locations: 131 Education Commons, 136 & 137 Creativity Labs",3 hours is too long for this event. host it for 2 hours moving forward. coordinate campus access and parking for supply drop off.
Film and Performance: Blow-Up,,Thursday,"June 4, 2026",7:00 PM,9:00 PM,2:00,120.0,Confirmed,Off Campus,Princeton Garden Theater,Art Museum,Museum Education,Danielle Beach,,Princeton Garden Theater,"Photography as a Way of Life: Minor White, Aaron Siskind, Harry Callahan",In Person,Film Screening,General Audience,Public,N,Y,,120,41415 B0371 GU633,Does PGT collect the fee?,
Pop-Up Talk: Curator MaryKate Cleary - loose chairs,,Friday,"June 5, 2026",2:00 PM,3:00 PM,1:00,60.0,Confirmed,Art Museum,Grand Hall,Art Museum,Museum Education,Danielle Beach,,,,In Person,Lecture,General Audience,Public,N,N,,80,41411 B0001 GU633,"Secondary Location: Orientation Gallery, European Gallery",
Tai Chi at the Museum,468877,Thursday,"June 11, 2026",5:30 PM,6:30 PM,1:00,60.0,Confirmed,Art Museum,Malkin Amphitheater,Art Museum,Museum Education,Danielle Beach,,,,In Person,Other,General Audience,Public,N,N,,20,41415 B0371 GU633,Rain Location: North Terrace ,
